NAME,VALUE,INTENSITY,SINGLE-USE,DESCRIPTION,ABILITY,ID
BURSTBLOSSOM,50,7,NO,"An oddly proportioned flower with a massive purple and white bloom far too big for its stem, it turns slowly like a pinwheel through the day, empowered by its latent evocation magic. They’re popular for harvesting materials as long as they don’t explode. They’re less popular when they explode.","Once per day, you can harvest 100 materials from the plant. If you backfire on the roll, the plant explodes, and you must Resist, DC14. The plant is destroyed when it explodes, but if you succeeded on the roll, you still get the 100 materials.",plant_19nKYnh6aAMIvR
WHITE-TIPPED SEEKER,150,10,NO,"A creeper plant that grows along the ground with bamboo-like shoots out from a wound core that’s sometimes plucked and served boiled as a delicacy. The shoots can detach from the main core, at which point they snake across the ground at alarming speed, often to grab nutrient-rich mushroom clusters and bring them back to the main core, which slowly digests them. It’s a bit metal.","Once per day, you can activate this plant and describe a target. The plant will detach a shoot to go search for the target, and will return with, at the GM’s discretion, either the target’s location, or one clue about the target’s location per degree of success.",plant_20MhLTwKuhJmFb
SAPHI’S WHISPERER,1000,8,NO,"A rare, precious flower that grows in quiet places, with periwinkle-blue blossoms that grow outwards like radio antennae. The plant is rich with enchantment energy, and they’re said to all be able to communicate with each other, like some kind of flower internet. Do they share memes? We may never know.","At any point, you may pluck two flowers and declare them bound. When two flowers are bound, anything that is whispered into one of them can be heard by the other, and this communication cannot be intercepted or blocked even by antimagic. These communications cannot travel across planes.",plant_21NEg4ESaeu4kf
UGLY SNATCHER,50,14,NO,"A deeply annoying plant that received an insulting name because of how much herbalists hate them. These plants grow in dark shoots that lie along the ground, partially burying themselves, creating a snare that’s difficult to detect, and if stepped into, will grab onto a target and hoist them up to dangle them in the air. They have a symbiotic relationship with dracowasps, which nest on the plant’s thick palm-like core and feed it magic energy and, in turn, feed on the energy of anyone it snares. The plant name went through several rounds of more expletive-laden alternatives before “ugly” was decided on.","You can bring this plant with you and set it up anywhere, specifying anyone you want it not to snatch. This does not require a roll. Anyone who steps on it after you’ve set it up will have to roll Agility, DC17, or be caught by the snare and need to spend one minute or 4 AP to get themselves out.",plant_22RGll4JEAWjr4
TIMELESS WHISPER,1250,22,NO,"A small tree that looks a little like a dogwood, with golden leaves and a glistening brassy bark. They grow on top of hills, far apart from one another, and the wind rustling in their leaves sounds a little like distant, brassy bells. They are rich with deep chronomantic enchantments, connecting past, present, and future, which means if you cut one down, you’re, like, a jerk for all time.","Once per day, you can interact with the tree to experience a vision up to ten minutes of the area around the tree one day into the past or future. This does not require a roll. You can also choose to roll in order to see a point up to one day into the future or past per degree of success, or you can “spend” three degrees of success to make it one week.",plant_23J0hNtN5HnhGL
PERFECT PRINCESS,200,12,NO,"A pretty peach-pink blossoming flower that shimmers with fey magic that makes them irresistibly charming. So named because they’re just so magically charming, how can you not think it’s a perfect princess? I mean, look at it. I kind of want to take one with me now. I probably have room for one.","You can bring this plant with you. When you do, you can take a +2 to Win Over checks.",plant_24VD7XgqQgCxIF
SLEEPING WILLOW,1200,13,NO,"A great, big, majestic willow tree that droops low and gives the appearance of being asleep, with draping curtains of shimmering magic that appear to be closing it out for its slumber. It’s rich with illusion magic, hiding away whatever lies inside the willow curtains to be undetectable from the outside world, and fey often congregate there, which means you get what’s coming to you if you poke around in there.","Once per day, you can harvest the tree’s natural illusion magics to obtain 1 Trundale’s Trick potion per degree of success.",plant_25FCBkkznWkKnI
BROKEN-HEART OAK,4000,30,NO,"A twisted plant that grows rich with natural hexological magics, the broken-heart oak looks almost exactly like the passionoak, but it inflicts terrible visions on those who come near. It gets a bit spiteful if you try to get rid of it, but aren’t all hexologists like that?","When you encounter this tree, the GM will have you roll against an Intensity Rank 8 to identify it, but if your roll result is less than 30, you will mistake this tree for a passionoak. If you interact with this tree, it will cast Waking Nightmare on you with one degree of success, using its Nightmare Seed at some point over the next week. If you attempt to harvest the tree, you must roll against its Intensity Rank, and if you fail, you will still successfully harvest it, but it will inflict two Nightmare Seeds on you in the process.",plant_261FURJLXFK9C6
EIRLYS’ SILVER BLOOM,150,10,NO,"A beautiful shimmering silvery flower that’s icy-cold to the touch, with an aura of wintry silence close to it. It carries natural evocation magics that tap into frost and ice magic, which means really, really fancy bars will drop an Eirlys petal into your drink to keep it cool, which is probably doing too much, but power to them.","You can bring this plant with you. When you do, you can use the Silver Bloom move at will: roll Herbalism, DC10, and on success, you can drop the temperature in a one-meter radius of a point at the tip of your finger to freezing.",plant_27lBCa0xcwg1Vi
WALL WALKER,150,16,NO,"A black, spindly plant that covers a wall and slowly creeps along it. It’s actually very friendly and loves people, but it doesn’t understand how to be friendly with people, so it typically ensnares them and crushes them trying to give them hugs.","You can bring this plant with you. While you have it with you, you can climb along walls and ceilings as easily as if you’re walking normally.",plant_28UpTw9XFbdQtd
HALF-MOON THISTLE,200,19,NO,"A soft lavender blossom that grows in paired stalks, with only one flowering. When the moon is out, the second stalk creates an illusory second blossom that shimmers with a bright light and confuses the fey that might pluck it around this time.","Once per day, you can harvest the plant’s natural magics to obtain an illusory enchantment. At any point over the day, you can spend this enchantment to cast the spell Second Self with two degrees of success, taking a 20 on the check.",plant_29cYLUzpWldQkn
JITTERBUSH,50,5,NO,"A bush full of bright-green coils that quiver slightly when someone approaches. They can be ground down into a powder and suspended in liquid to make a solution that imbues the very same jittery energy to the drinker, which means herbalists scoffed when Red Bull came around. “We’ve been doing this for ages,” they said, jittering.","Once per day, you can harvest the plant’s coils to create a Dragonfly potion, or you can spend an hour to roll and collect one for each degree of success.",plant_30huuvK9cuXSN8
BLACKHEART SPINDLE,500,20,NO,"A briar-like plant that grows on burned earth, with nasty curved thorns and long, thin reeds of tiny, jet-black blossoms. Plucking a blossom while whispering someone’s name is said to bring a curse to them. You could try just telling them your frustrations, but I guess if you’re feeling passive-aggressive, you do you.","Once per day, you can pluck one of the blossoms and name a person. That person must roll Endurance or Willpower against your Herbalism check, and on failure, they must Resist, DC10. If they succeed, or if you fail on the Herbalism check to use this, you must Resist DC10 instead.",plant_31A7IKF7yRU5L1
PHOENIXTAIL,500,22,NO,"A brilliant plant that grows up to massive sizes, with bright red, orange, and yellow all streaked along the length of its iridescent stalks to give it the appearance of a phoenix’s feather. The plant is rare and mesmerizingly beautiful, but get too close and it’ll snatch you up, where the searing heat that rolls off of it will cook you. Generally, you don’t want that.","Once per day, you can harvest a fiery stem to obtain a Flamewalker potion. If you fail by two or more degrees of failure, you must Resist, DC16.",plant_32XJLI8Ezrz3Zl
THRASHING BOUGH,1000,9,NO,"A tree that, at first branch, looks like a lovely juniper tree, until you get close enough, at which point it goes absolutely ballistic and tries to smash you to pieces. If you greet the tree politely and wish it well, it will be less likely to smash you. Everybody assumes they were created by some strange magic-user long ago and just stuck around, but nobody’s been able to track down who it was. The little golden fruits that grow on its boughs impart some nice restoration magic, though.","Once per day, you can harvest the tree’s fruits to obtain a Stoneskin potion.",plant_3377LLaBDpid1q
MOCKINGBLOOM,850,22,NO,"A tiny, beautiful red flower that shimmers with a pale magic glow, shedding a faint magic dust onto the ground around it. The flower is just the tip of the full plant, though, and if you approach the flower, the ground will give way underneath you and drop you into its pit, filled with the coiled mass of the thorny plant that snares you and drags you in deeper. Injuries related to this plant spike in the week before Mother’s Day.","Once per week, you can attempt to harvest from the plant. On a success, you obtain 1000 materials, but on a failure, you are pulled into the plant and ensnared. You must roll Herbalism or Agility, DC22, escaping on success or being forced to Resist, DC13 on failure. If you fail, you must continue to roll until you escape, get pulled out, or reach 0 Resolve, at which point you remain stuck inside the plant for 24 hours before being spat out with 1 Resolve. Anyone attempting to help you out must roll Herbalism or Agility, DC18 or be pulled in as well.",plant_34ShzdraOEPUKt
