NAME,LEVEL,SUBJECT,COST,INTENSITY,SKILL,DC,DESCRIPTION,ID
BLACK ROD,BASIC,TRANSMUTATION,1500,33,CONCENTRATION,13,"A small, twisted rod in abyssal steel with a small goldenrod crystal at each end, glowing with a faint transmutative magic. You can touch the Rod to an object and roll Concentration, DC13 to break down the target object, searing a hole into it, bigger the more degrees of success you have. The artifact has no effect on warded or runed objects, but is effective on almost anything else, no matter the composition.",artifact_120BRZPYU4HG8w
TOME OF TRUTH AND LIE,BASIC,ARCANE HISTORY,1700,30,RESEARCH,12,"A magic book that floats at your command and is written in an arcane script only the one attuned to it can read. You can roll Research, DC12 to draw from its knowledge filled with magical accounts of deceit in order to take a +2 per degree of success on a Deception check or a Read Person check to tell if someone is being honest. The tome continually creates and dismisses its own pages, making it a living thing that will sometimes play and create fun texts or images, but sometimes its images are a little too fond of girls in bunny outfits. Or guys in bunny outfits.",artifact_13T5tuFH7yoPye
MARWYN’S EYE,BASIC,DIVINATION,1800,32,CONCENTRATION,12,"A small but heavy eye cast in ornate charcoal metal with a single ley tanzanite core set in the middle of an iris design. You can sweep the Eye over an area and detect automatically if anything you can see is totally illusionary, although you cannot tell if something is just illusorily disguised as something else, just if something is completely an illusion. You can also activate the Eye by rolling Concentration, DC12, lighting up the ley tanzanite in a brilliant indigo glow. On success, you can see any place you’ve been in the past twelve hours per degree of success, and you can watch for one minute, seeing the place but not perceiving it in any other way. Finally, you can just magically check to see if you left the stove on at home.",artifact_14HMXDJes7xRO2
STORYWEAVER,BASIC,ARCANE HISTORY,1700,32,DECEPTION,14,"A fountain pen in dark burnished gold with a ley line flower design subtly etched into the length of it, it draws faintly shimmering lines in the air that disappear shortly after. While you have this artifact equipped, you have more say over the outcome of Inflection Points than you would otherwise. In addition, you can roll Deception, DC14 to write a story into the ley lines. On success, any number of people you choose who hear what you say must roll Recall Information versus your check + 6, and for each degree of failure, you can choose one thing that they fully believe has happened. After 10 minutes, their memories return, usually leaving them confused. Sometimes they just shrug it off, though. Some people have been gaslit a lot.",artifact_15Z6yr8UL7wbF5
BECKONING BLOSSOM,BASIC,ILLUSION,1900,30,WIN OVER,15,"An earring charm with a faint pink crystal that appears ordinary until further inspection reveals it as activated fey quartz. While this artifact is equipped, you are aware of anybody’s attempts to magically influence somebody’s thoughts or feelings around you, including your own. You can touch the earring and activate its magic against a person, rolling Win Over, DC15. On success, the target must roll Willpower versus your check or have their feelings about one person changed for each degree of failure on their check, for one hour, or you can spend two degrees to make their feelings persist for 24 hours. If you change someone’s feelings about somebody else too drastically with this, they are likely to realize they’ve been manipulated. A PC can always choose not to be affected or to be affected for less time.",artifact_168jiWkClrGogq
TRAPKEEPER,BASIC,RUNOLOGY,2000,28,COMPREHEND,11,"A small, intricately carved rod made of arcanum scyllus wood, capped with a gold tip with a single radiant runic design. While this artifact is equipped, you know the Glyph spell if you don’t already, and if it backfires, you can choose for this artifact to backfire instead of rolling Resist. When you do cast Glyph this way, you can roll Comprehend, DC11, to tap this artifact to the runic seal and pour magic out into it. For each degree of success, you can increase Glyph’s degrees of success by 1, plant an additional spell, or name a field of magic and the GM will pick a spell from that field that you can place in the Glyph even if you don’t know it. When you do this, the Glyph placed is undetectable until it activates, which often makes it very, very detectable.",artifact_17CoFc9KNZenCM
SPELL PAINTER’S PALETTE,BASIC,ENCHANTMENT,2000,29,RECALL INFORMATION,10,"A pair of rose-gold bangles inlaid with countless tiny runes on the inside, storing aspects of thousands of spells. While this artifact is active, you can take a +4 to all checks to identify a given spell that you see cast or see the results of its casting. In addition, whenever you set out to place an enchantment, you can activate this artifact by rolling Recall Information, DC10, to summon a spectral sheet of spell aspects. For each degree of success, the GM will offer access to one extra spell you don’t know to place as an enchantment.",artifact_18h2pw5OUzmz6w
INDIGO FLOWER,BASIC,ARCANE HISTORY,1800,30,RECALL INFORMATION,10,"A small crystalline flower in an iridescent pale indigo that grants a connection to the endless knowledge of the ley lines. When you first meet someone, or when you meet someone for the first time in a while, you can roll Recall Information, DC10, to tap into the knowledge of the ley lines and their course of the fate of all things, as the flower’s petals glow brighter. For each degree of success, you can learn one piece of information about the person, including about their fate and likely futures. You can spend a Downtime block meditating with this artifact, refreshing your ability to use it again on everybody you come across as if you’re meeting them anew.",artifact_196yZeIvzYq8JH
MIREL’S WATERCOLOR,BASIC,ENCHANTMENT,2000,27,ART,15,"A simple gold ring worn around the index finger, with a delicate insignia in the center and a single band of pale color that flows around the length of it like a liquid, slowly shifting hue. When you first attune to this artifact, you can choose any spell you know or any Standard or Basic spell, and if you don’t know that spell yet, you become able to place it as an enchantment. When you set out to enchant an object with this spell, you can activate the ring by rolling Art, DC15. On success, you create a flow of delicate colors that swirl into the target object in a precise routine that stores the magic of the chosen spell, allowing you to place that enchantment without spending the 100 materials to do so. If the check fails or backfires, the enchantment still costs you the regular 100 materials. With a period of Downtime, you can choose a different spell to store in this artifact.",artifact_20bUMTvmX4i6rY
EXTRAPLANAR HEART,BASIC,SUMMONING,1500,33,ATHLETICS,13,"A brassy disc inlaid with strange, extraplanar magic insignias and seems to subtly beat like a heart, worn by planting it into the chest, where it integrates itself with the wearer’s body. While this artifact is equipped, you are immune to extraplanar stress, and you can activate it by rolling Athletics, DC13. On success, you can draw in the power of an extraplanar entity to empower your physical form, gaining a +4 to Body and a +2 to one Skill of your choice per degree of success, for 5 minutes, during which time you cannot cast spells or use this artifact again. The artifact gains a tiny insignia for every extraplanar creature whose strength you’ve drawn from this way, creating a chronicle of your extraplanar connections, and extraplanar creatures are likely to respect you if you have a large collection of different insignias, especially from uses with high degrees of success, representing more powerful extraplanar creatures.",artifact_21h4M2yTPSnCEC
AILEE’S WHISPER,BASIC,HYPNOMANCY,1700,29,STEALTH,12,"A simple band worn around the hand with a conduit in the palm, which blossoms into a spectral lotus flower when the artifact is activated. You can roll Stealth, DC12 to create a spectral flower that emits a small pink wisp and sends it towards a target, who must roll Perception versus your check or be marked without noticing it. When you have someone marked, you can tell when they’re asleep and what they’re dreaming about, and you can cast Hypnomancy spells on them to influence their dreams as if you are physically with them. This mark is expended when you cast a Hypnomancy spell on them this way, or you can dismiss it at any point. You can only have one person marked in this way at a time. If the target is willing, they can choose to fail the Perception roll against your check, but you still must roll to activate the artifact. The artifact designer, Ailee, is mostly anonymous and just known for being a dreamcreep nobody likes, but we have to admit, her designs are pretty solid. Credit where credit is due.",artifact_22f1HHJQSsBVQe
COSMIC REPOSITORY,BASIC,CHRONOMANCY,1800,30,SEARCH,12,"An artifact that looks tastefully like a sleek, understated gold watch, expanding into a spectral machination of countless spinning gears revealing information from different timelines. While this artifact is equipped, you have an innate, automatic sense for whether something interesting has happened recently in the area you are in, and the GM will sometimes give insights on it for free. You can roll Search, DC12 to pore through the information presented by the Repository and receive one interesting piece of information per degree of success about the area you are in, including anything interesting that has happened in it recently. The artifact has its own sense of what constitutes remarkable, interesting incidents, and is inexplicably fascinated with beetroot, and will often let you know if somebody has had a beet salad recently.",artifact_23pCxSy4BxE558
SILVER-SCALE CREST,BASIC,DRACONOLOGY,1900,29,"INVESTIGATION, SEARCH",12,"A band of shimmering draconic scale worn anywhere on the face, where it shifts to accommodate its placement, becoming one with the wearer. While this artifact is equipped, any time you encounter materials from a Downtime option or from an unexpected boon, you can take an extra 100, as the Crest guides you to find more, driven by the draconic treasure-hoarding instinct. You can activate the artifact by rolling Investigation or Search, DC12, lighting up your irises in glowing silver as the Crest guides you towards treasure. For each degree of success, you can get a clue about the location of materials, a potion, a wand, an artifact, or a clue or a piece of relevant information to what you are after.",artifact_24vLLS8JYxNr3d
LUMA’S LANTERN,BASIC,NECROMANCY,1800,29,"CREATURE, PERSUASION",13,"A heavy artifact like a small gas lantern in dull black metal and a spectral silver flame inside. While this artifact is equipped, you can cast light with it even in magical darkness. You can activate the artifact by rolling Creature or Persuasion, DC13 to open a door on the lantern and let the spectral flame out, a necromantic spirit like a will-o’-the-wisp that follows your directions. It cannot physically interact and has 0 Resolve, meaning it is dispersed if it is ever forced to Resist, but it can perceive everything around it like a person and it can pass through anywhere that light can pass through. It can remain indefinitely outside of the lantern, but you cannot tell anything it has perceived until it is closed inside the lantern again, at which point you become aware of everything it perceived. You can instantly summon it back into the lantern from anywhere when it is out.",artifact_25sVyvpBYCmlYN
SANGUINE GLOW,BASIC,ENCHANTMENT,1500,33,ENDURANCE,13,"A pure white crystal device that connects to the raw physical essence of the user’s blood. You can turn and realign the various forms and pieces of the device to interact with the bioarcane link and pour magic force into your blood, causing the crystal to glow with a bright blood red. Roll Endurance, DC13. For each degree of success, you can choose one Skill to take a +4 for the next hour. If you fail, you must Resist, DC10. Whether it succeeds or fails, once you have used it, you cannot use it again for one hour.",artifact_26u4E4fp3aX4p0
MEYRI’S MAGIC CLAY,BASIC,WANDCRAFTING,2000,26,ART,10,"An earthen-red clay in the form of a serpent that, if left alone, hangs in place in the air moving in an infinity symbol, shimmering with a pale magic light. You can form the clay into a wand, spending an hour and rolling Art, DC10. On success, you can obtain any Standard or Basic wand of your choice without spending the materials for it, or on 4 or more degrees of success, you can obtain an Advanced wand this way. You must equip the new wand right away, and once you unequip the wand, it collapses back into its original form and can be formed into a new wand.",artifact_27EWuS8OkyrDHS
ARCLIGHT’S FLASH STEP,BASIC,COUNTERHEXOLOGY,1700,29,AGILITY,N/A,"A heavy pendant inscribed with neat, interlocking lines that glow with a faint protective magic. While this artifact is equipped, you have advanced warning when someone is about to cast a Standard or higher spell or artifact effect on you, as well as whether that spell or artifact is hexological. When you are targeted by a spell or artifact effect and you can roll a Body Skill to avoid being affected, you can roll Agility with this artifact instead, against the same DC, as the pendant flashes with a brilliant light and helps move you out of the way. An FDM classic, popular among people meddling in the affairs of dangerous rogue arcanists.",artifact_280UxI4RsFdx7u
FIRE-EYES,BASIC,EVOCATION,1600,30,CREATURE,13,"A magic charm that looks more like a cute accessory than an artifact of elemental force, in the shape of a cute animal head whose eyes light up with spectral fire when you activate the artifact. Roll Creature, DC13. On success, you can summon a small elemental creature of whatever element you choose, a creature of your choice no bigger than your head made of pure elemental energy, with 1 Resolve, which rolls 0/5. The creature lasts for 10 minutes, during which time it obeys your spoken instructions to the best of its ability. It’s also pretty cute, honestly. Keep in mind you still can’t hug fire elementals, no matter how cute they are.",artifact_29j5hcP6nDBSJJ
NEPHERA’S WICKED CLOUD,BASIC,HERBALISM,1500,32,AGILITY,15,"A brace of tangled brambles worn over the hand, which causes them to sink into your hand and become part of you, looking like a tattoo of thorned vines all over one hand. You can grip your hand and channel the magic through the vines to become one with the herbalist magics, rolling Agility, DC15. On success, you are instantly transformed into a cloud of deep violet spores for 5 seconds, during which time you can move at high speed in any direction and slip through any opening that water can go through. When you coalesce again, you come back together feeling like your bones have been disassembled and put back in place—kind of like a chiropractor, just less scary.",artifact_30zesRF1I7OY1n
DANCING DREAM,BASIC,ILLUSION,1600,28,PERCEPTION,11,"A small, silvery tiara that gleams with fey quartz and a dusting of pixie dust, it appears to project a halo around your head, but only when someone views you from the corner of their eye, disappearing when they look at you directly. While this artifact is equipped, you can project your sight to any point you can see, and gain a glimpse of sight as if you were looking from that point. You can also activate the artifact by speaking a name chosen when you first attune to this artifact, which calls forth the artifact’s spirit as an illusory figure. Roll Perception, DC11. On success, you summon an illusory figure that looks like whatever you want but is easily detectable as an illusion (Perception or Analyze DC5), but can move freely in three dimensions and through anything light can pass through, and you can freely alternate between perceiving through your senses or that of the illusory figure. The illusory figure follows your directions, at least by the letter, but can be a little playful and… creative with the interpretations. Once summoned, it lasts for 10 minutes.",artifact_31qsxgGVuZHTlA
TRUNDALE’S TRUNK,BASIC,TELEPORTATION,1800,30,SLEIGHT OF HAND,14,"A small container made of banded wood with an ornate lock on it that bears the great mage trickster Trundale’s seal on it. While this artifact is equipped, you can place anything inside the Trunk to make it impossible for anyone else to access, and no magic can detect the existence of anything inside the Trunk. You can also roll Sleight of Hand, DC14, to open a portal between the Trunk and a target, either moving the contents of the Trunk to the target location or stealing a target object into the Trunk. If you are attempting to steal from or plant an object on a person with this, they can roll Perception versus your check to catch it and stop it, but unless they have 3 or more degrees of success, they won’t be able to track exactly what’s happening back to you. Unless you’re standing in front of them giggling while you reach your hand into the trunk. That might clue them in.",artifact_32xyvsOa5HzcZG
AELYN’S SHIELD,BASIC,WARDING,1800,28,ANALYZE,13,"A delicate, ornate choker with a band of lunar silver along the middle, shimmering with a faint protective energy. While this artifact is active, any time a spell check forces you to make a check and you fail with one degree of failure, it is instead treated as one degree of failure and one degree of success. In addition, you can activate it by rolling Analyze, DC13 and choosing one field of magic or one specific spell to protect against per degree of success. For each field of magic chosen, you take a +4 to all checks made to resist effects from that field of magic for the next hour, and for each specific spell chosen, you become immune to that spell for the next hour. At the GM’s discretion, you may also choose nonmagical situations of equal specificity to protect against, such as taking a +4 to protect from harm from falling from heights or becoming immune to a certain type of weapon. Whether the effect succeeds or fails, you cannot attempt to activate it again for an hour.",artifact_33SQuw7bce3Tv6
SERPENT OF DREAD,BASIC,DEMONOLOGY,1600,31,WILLPOWER,11,"A small sculpture of the Abyssal Serpent who writhes in the deepest roots of the demonic plane, carved from deep-rock abyssal stone. While this artifact is equipped, you have a +4 to all Charm checks to make someone feel uneasy, and you can activate it by rolling Willpower, DC11. On success, one target you can see per degree of success must roll Willpower versus your check or feel a deep sense of unease that they’re doing something wrong, often dissuading them from what they’re doing. You can spend three degrees of success to force a target to Resist Doubt, DC14 at the same time. For such a creepy, evil-looking little thing, it’s actually primarily useful for getting people to stop making stupid decisions.",artifact_34gRN8D1vigHRu
MARWYN’S NIGHT,BASIC,ARTIFICY,1700,27,"SLEIGHT OF HAND, STEALTH",12,"A small, solid scepter made of whisperwood and set with the fang of a black worm, a pale blue light runs through the intricate lines carved all along the length of it, dancing from one end to the next. You can activate it by rolling Sleight of Hand or Stealth, DC12, to cloak it in shadow, dampening your magic signature. For each degree of success, you can take a +4 to one check to perform magic or use an artifact stealthily over the next hour, during which time it continues shrouded in darkness and cannot be activated again until the effect ends.",artifact_35jJMCjPrFzBTZ
SEEKER’S SECRET,BASIC,HERBALISM,1700,29,TRACKING,8,"A long spiral ring made from the heart of the gold-tipped seeker, a rare and powerful version of the white-tipped seeker famous in herbalist circles for tracking down anything. While this artifact is active, you always know the way back to your home as long as you are in the wilderness, and you can activate the ring, causing it to glow golden as spectral lines feel out from its bands into the air around you. Roll Tracking, DC8. For each degree of success, you obtain one clue about where a given person is, as long as they are outside or have been in the last hour. At the GM’s discretion, if the target isn’t trying to hide their location, your “clue” may simply be the target’s exact location or the exact time and location they were last outside.",artifact_36i5T8SO101PSr
HEARTSONG STONE,BASIC,CRYSTALLOMANCY,1800,28,READ PERSON,13,"A magically empowered crystal, one half jet-black and one half soft pink, suspended inside a shimmering glass vial, where it turns slowly, humming with magic energy. While this artifact is equipped, you can automatically tell when someone is hiding something or not being fully upfront, but it doesn’t tell you what it is they’re hiding. You can activate the artifact by rolling Read Person, DC13, forcing a target to roll Concentration or Deception versus your check. For each degree of failure on their check, you can learn one fear, insecurity, hope, or dream that they have. You can choose for the effect to be subtle and for them not to know you gleaned this information unless they succeed on their check.",artifact_37DyPaFXAofzLJ
OBLIVION GOBLET,BASIC,TRANSMUTATION,1800,28,ANALYZE,14,"A heavy, elegant goblet that is filled to the top with a clear, bubbling liquid, but that never spills, even if inverted or if something is added that should make it overflow. When this artifact is equipped, you can put any small nonmagical inorganic object into the liquid, which will quickly dissolve it into nothing. You can also roll Analyze, DC14 to put any inorganic object with a material value into the goblet, which will break it down into a number of materials equal to half its value. At the GM’s discretion, any object may have too much magic power for the goblet to dissolve. You could put your friend’s wedding ring in here, if you’re a really bad friend.",artifact_38pPlpSnYgOwMG
CLATHRA FANG,BASIC,BESTIOLOGY,1700,29,AGILITY,14,"An amulet made of the fang of a clathra elite, a nimble and fearsome beast, encased in phoenix fire resin and worn on a leather string. While this artifact is equipped, you can perform movement stealthily in Action without extra AP cost, and you can activate a spectral green flame from the fang by rolling Agility, DC14. On success, you tap into the elite hunter’s skill of the clathra, and for one minute, you can move with increased grace and speed, shrouding you with a faint spectral green flame and giving a +2 per degree of success to Agility and Stealth checks as well as Athletics checks to move quickly. While this effect is active, you can climb walls as easily as walking the same distance and you can jump three times higher and farther without making a check. You also crave scritches behind the ear.",artifact_39NBQMeZJehFnM
FLIGHT OF FANCY,BASIC,ALCHEMY,2000,28,DECEPTION,10,"A tiny, elegant crystal vial with a crescent-moon stopper made of lunar silver, a dreamy mist spills out when you open it. You can take out the dropper in the lid and place a single droplet in your mouth, causing a swirl of magic to percolate through your body. Roll Deception, DC10. On success, you can illusorily alter one thing about your appearance for 1 hour, or on 4 degrees of success, you can alter your appearance entirely to look like another person. Anyone attempting to see through the illusion must roll Perception or Analyze versus your check + 4.",artifact_40vuprgk8MO4Rr
MISTWALKER’S MELODY,BASIC,TELEPORTATION,1600,28,ART,13,"A delicate fey quartz charm worn over the outside of the ear, making a soft melodic sound at the touch. While this artifact is equipped, you travel double the distance from Blink and Meyri’s Mist Walk. You can activate the artifact with precise touches to call up a music-box-like melody, rolling Art, DC13. On success, your next teleport distance is multiplied by 10 times your degrees of success on this check. Not recommended for teleporting straight up.",artifact_413Db6cR8tCrNB
WHISPERKEEP WATCH,BASIC,DIVINATION,2000,30,PERCEPTION,13,"An ornate headpiece like a delicate, romantic tiara or diadem, it summons a long flowing spectral veil when activated. Name a person you’ve seen before and roll Perception, DC13. On success, you can learn one piece of information per degree of success about where the target is right now or what they’re doing. This effect automatically fails if the target has Scry Shield or any other protection against divination. If you find out things you don’t want to know about a person doing this, well, that’s kind of on you.",artifact_427pzFYpMAoLzL
PROTECTOR STONE,BASIC,COUNTERHEXOLOGY,1700,30,COMPREHEND,14,"A row of small, ornate crystals that are affixed to any point on the body the wearer chooses, where they settle in like a part of the body. While this artifact is equipped, you are immune to any hexological spell cast directly against you, and you can choose one other person to also receive this protection. You can change who is protected this way at any point without a check by touching them and speaking a command word. You can also activate the Stone by rolling Comprehend, DC14, making them flare up in different colors briefly as they search the magic presence around you. For each degree of success, you learn one thing about hexological magic used nearby recently or any magic cast secretly. You must spend 10 minutes if you ever want to remove the Stone from your person, because they have separation anxiety.",artifact_43WFEcG9XCMBr2
SCORPION SANDS,BASIC,CHRONOMANCY,1700,29,WILLPOWER,12,"A small pendant with an hourglass in the middle, with shimmering, opalescent sand that flows slowly from top to bottom. You can turn the hourglass to adjust the very recent past: roll Willpower, DC12, and for each degree of success, you can make one skill check, including using an artifact, or cast a Basic or Standard spell at any point in the past up to 5 seconds before. You can spend 3 degrees of success to cast an Advanced or higher spell. Once used in this way, the pendant takes an hour to fill up the sand in the bottom again, and it cannot be used again until all the sand has moved to the bottom.",artifact_44lmqu3rOKTtkS
SAVAGE GRASP,BASIC,WARDING,2000,27,ATHLETICS,10,"A solid bar made of a jet-black material like obsidian that’s warm to the touch, set with dragon’s onyx in an eye-shaped design in the center. You can squeeze it tightly in one hand, calling up a flash of crackling white magic in the signature warding lattice as it converts your magic force to raw physical power. Roll Athletics, DC10. For the next ten minutes, you can take a +4 bonus to all Body checks, plus 1 for each degree of success past the first, but during this time, you cannot cast any spells or use any artifacts. You can end the effect early by gripping the artifact tightly again, pulling the magic back out of you and forcing you to Resist, DC13.",artifact_45SWPPMqmRvkg7
ANGEL’S WHISPER,BASIC,HYPNOMANCY,1900,31,PERSUASION,14,"A silver ring inlaid with pink fey tourmaline and a delicate inscription on the inside that constantly rewrites itself into ancient celestial prose. Roll Persuasion, DC14. On a success, the ring glows with a pale pink light that only you can see, forming a tether to a person you can see before the light vanishes. For each degree of success, you can pick one statement to implant into the target’s mind, and the next time they sleep, they must roll Comprehend versus your check or be persuaded of those statements you implanted as if you’d made a Persuasion check to them directly, but they will believe any changes to their beliefs come from within. You could use it for evil, but it’s also great for giving your self-conscious friends more confidence!",artifact_46gvuYkmvVFNua
SOUL STRING,BASIC,ARTIFICY,2200,26,"ART, TRACKING",11,"A thin, crystalline band worn over the tip of your dominant index finger, where the surface swims with small ribbons of magic light. You can touch it to an object and pull a thin, spectral thread out of the object to track it back to anyone it’s connected to. Roll Art or Tracking, DC11. For each degree of success, you can gain one clue about someone who owns the object or someone who’s recently held or used it. On three or more degrees of success, you can choose to leave no trace that you interacted with the object.",artifact_47QDnVx7RFKE28
HIDDEN HEART,BASIC,TELEKINESIS,1600,28,HIDE OBJECT,12,"A perfectly round artifact that looks like ordinary metal until the person it’s attuned to picks it up, at which point it turns liquid and flows like quicksilver to coat their hand. When you have it activated in this way, you can Hide Object, DC12, to telekinetically reach out and place a small glimmer of magic on an object up to 5 kilograms per degree of success and make it invisible to everyone but yourself for 1 minute. While it is invisible in this way, you can add a bonus equal to your degrees of success to any Telekinesis spell cast on the target object. You can only have one object hidden with the Heart at a time.",artifact_48tuwWOC0XtF8d
TIMESPINNER,BASIC,CHRONOMANCY,1800,29,IMPROVISE,10,"A small charm like a roulette wheel worn on the back of the hand, glimmering with a pale golden chronomantic light. You can spin the wheel to readjust the timeline you’re in, rolling Improvise, DC10. For each degree of success, the GM will change one small detail of the current scene, as you move to a slightly different timeline. The changes will generally be in your favor, but will often be unpredictable. You can spend 3 degrees of success to instead choose one specific small change you want, at the GM’s discretion. Originally called Wheel of Fortune, it predated the game show but still lost the copyright battle. The real rough blow was that in the aftermath, they changed the name to Wheel of Time, which didn’t last either.",artifact_49DEe4HwsvD2qT
ABYLAR’S GUARD,BASIC,BESTIOLOGY,1700,27,TRACKING,15,"A coarse piece of trollbone craftwork that can be fixed to a necklace or hair ornament, where a spectral light glows through the intricate design carved into it. While this artifact is equipped, you can immediately sense if the space you are in is marked as a beast’s territory, although you cannot tell what type of beast. When you are not in a beast’s territory, you can claim the current area as your own, rolling Tracking, DC15. On success, you summon a spectral creature that takes whatever form you like and patrols the area. Any creature that challenges it for territory must roll Willpower against your check, dispelling it on a success. Any time you enter your territory, you become instantly aware of everything that’s happened in the territory since the last time you were in it. The great wizard Abylar created this artifact to have terrible, powerful guards, but for some reason he could never get it to make anything other than chinchillas. They were cute, though.",artifact_50SSEIGIhjVkhI
DRAGON’S BEATING HEART,BASIC,DRACONOLOGY,1900,25,STEALTH,15,"A gemstone earring subtly in the shape of a dragon’s red eye. While this artifact is equipped, any time you cast an Advanced or lower Evocation spell, you can choose to Resist, DC12 to add 1 degree of success to the roll. You can also activate the gemstone by rolling Stealth, DC15. On success, your magic is routed to the gemstone to flow from inside you instead of from the natural world, and for 10 minutes, your magic cannot be tracked or detected by any other magic, and you can still cast inside most types of antimagic, at the GM’s discretion. The downside is that it makes you want to snack on gemstones a little bit.",artifact_51z9O3ja24AzOj
