NAME,LEVEL,DC,SUBJECT,STAT,RITUAL,VOLATILE,DESCRIPTION,HIGHER-LEVEL BEHAVIOR,ID
SPECTRAL LAB,ADVANCED,20,ALCHEMY,CREATIVITY,YES,NO,"Creates a makeshift alchemy lab. On success, you can create an alchemy lab wherever you are that works for 500 materials. This lab can be dispelled and rematerialized at will from anywhere while it exists, although any potions passively brewing on it will pause brewing while it is dispelled, and nobody but you can interact with it. It disappears after 1 day, or once its material limit is exhausted. You can also make it look however you like, which is good if you’re really aesthetic.","The lab can be used for 500/degree materials, and lasts for 1/degree day(s).",spell_12XHL3qCcKhRTY
DESTABILIZING COMPOUND,STANDARD,14,ALCHEMY,CREATIVITY,NO,NO,"A magically-propelled stream of dissolved unstable alchemical compound. On success, a target must roll Endurance against your check or Resist Wound. The target takes a -4 penalty on each check if they are metabolizing a potion.",The penalty on a target metabolizing a potion is (-4/-5+).,spell_13zaGmSrYesVbu
ETERNAL HUNGER,HEX (4AP),30,ALCHEMY,CREATIVITY,NO,NO,"Creates a dark miasma that drifts like a dense cloud, choking a target and seeping into their body. On success, a target must roll as if metabolizing a potion with a DC equal to your spell check. If they fail, they become afflicted with Eternal Hunger, a noxious malaise that eats at them from the inside out. If they go 24 hours without taking an Angel’s Balm potion, they must Resist, DC20. This condition lasts indefinitely. If you cast this on someone and they steal your Angel’s Balm potions, though, you don’t really get to complain.",You can affect (1/2*) target(s).,spell_148LWVV1BsTqw2
SONGWON’S ALCHEMY BURN,STANDARD,15,ALCHEMY,CREATIVITY,NO,NO,"Any time you are near a target, including yourself, who is metabolizing a potion, you can cast this potion by clapping your hands together with an incantation and summoning a green spectral flame between them that pours into a target’s body through their mouth and nose. On success, you can cause a willing target to Resist, DC14 in exchange for cutting their remaining metabolize time in half. A target cannot benefit from this ability again until they have finished metabolizing their current potion.",The target can take a +1/degree bonus to their Resist check.,spell_15ZuQGzHv7sOj3
BREWSNAP,STANDARD,10,ALCHEMY,CREATIVITY,NO,NO,"You can cast this spell anytime you are brewing a potion, pouring a multicolored spectral flame out of your wand and into your brewing station. On success, you instantly finish 50 materials’ worth of brewing. You cannot use this spell on the same brewing process again.",The spell instantly completes (50/100/150/200/300+) materials’ worth of brewing.,spell_16ztUkYb9bPDMh
STONEBURN,STANDARD,16,ALCHEMY,CREATIVITY,NO,NO,"Flares up a bright flash of lavender magic light that streaks out and hits a target who is benefitting from a potion, with a feeling universally described like getting hit with a rock. On success, a target must roll Agility or Endurance versus your spell check or have their active potion effect disabled for 5 minutes per degree of failure on their check. Ostensibly an offensive spell, there are enough alchemists dumb enough to drink everything put in front of them that this spell is commonly used to knock a poison out of the alchemist’s own system.",You can affect (1/2*) target(s).,spell_17LCTxb0wvDzrY
SALMIAN’S SUMMON,STANDARD,15,ALCHEMY,CREATIVITY,NO,NO,"If you have fewer potions than your potion limit, you can cast this spell to create a swirl of crackling lavender spectral flame around your fingers that flares up in a flash when you snap your fingers. On success, you can spend 150 materials to instantly obtain a 50-material potion. Potions obtained this way are said to taste better, but that might be Salmian’s marketing campaign.",You can instantly obtain any potion up to 50/degree materials by paying 3 times the material cost.,spell_18ljg9KM0ebw7U
TRUNDALE’S TORMENT,HEX (4AP),31,ALCHEMY,CREATIVITY,NO,NO,"You can cast this spell over 30 minutes to create a single droplet of blood-red liquid. On success, you create a droplet of magic liquid that will become undetectable if placed into any liquid and lasts indefinitely. If someone consumes this droplet, they must roll Endurance versus your spell check or be afflicted with Trundale’s Torment. When a target afflicted with Trundale’s Torment takes a potion, if they fail or roll a critical failure on the Metabolize roll, the potion is instead turned into a poison with the opposite effect, as in the spell Arcane Inversion. This effect lasts indefinitely, and it does not turn a poison into a potion, which is just rude at that point. Like, it could at least do that much.","The spell takes (30 minutes/10 minutes/1 minute/no time) to cast, and creates 1/degree droplet(s).",spell_19OSzlB6r9nNCt
TITANS’ COMPASS,BASIC,5,ARTIFICY,CREATIVITY,NO,NO,"You can cast this spell on an artifact without rolling for it. Once you have, you can roll for this spell at any time to obtain a clue about the artifact’s location. You cannot use this spell to find the same artifact until you’ve found it.",You can gain 1/degree clue(s) about the artifact’s location.,spell_20af0qQNqKmgP9
CRYSTAL OF POWER,STANDARD,16,ARTIFICY,CREATIVITY,NO,NO,"Implants a deep red spectral crystal into an artifact. On a success, you can increase the power of one effect on the target artifact for 1 minute. Work with the GM to determine what the power increase looks like. The crystal can cause chafing, so don’t use it on your artifact underwear.",The effect lasts for (1 minute/1 hour/8 hours/1 day) and gives +(0/1/2/4+) to backfire checks made with that artifact.,spell_21CXAImE9wTokJ
FORGE’S WHISPER,STANDARD,15,ARTIFICY,CREATIVITY,NO,NO,"A trail of glowing red threads link you to a target artifact, forming a telepathic link. On success, you tap into the spiritual essence of the artifact and can ask it any question it would know the answer to. If it doesn’t know the answer, the GM will allow you to choose a different question. Please be warned that artifacts see some weird stuff.","You can ask 1/degree question(s) of the artifact. On 3 or more degrees of success, the artifact’s knowledge extends to any knowledge anybody has had while attuned to it in the past.",spell_22a4Ei9MY2z243
DIAMOND INSIGHT,STANDARD,10,ARTIFICY,CREATIVITY,YES,NO,"Touch an artifact as part of casting this spell. On success, you can determine one of the following: • What does this artifact do? • How difficult is it to attune to? • Who, if anyone, is it attuned to? • How old is it? • Who made it? • At the GM’s discretion, you can ask any similar question in this vein. The artifact reserves the right to judge you if you ask an invasive question, though.",You can ask 1/degree questions. The GM will give you (0/0/1+) extra pieces of information relevant to your goals from glimpsing the artifact’s psyche.,spell_23eYCytxESzszI
ARTIFACT’S RESERVE,STANDARD,16,ARTIFICY,CREATIVITY,NO,NO,"Pulls a wave of strength out of an artifact in a brilliant red light that bursts out from your hand when you do. Touch an artifact you are attuned to as part of casting this spell. On a success, you can choose one bonus: • +2 to a Stat • +4 to an Ability • Ignore the next Condition you would take • +6 to your next check • This ability lasts for 30 minutes, and the artifact becomes inert and loses all its abilities for 8 hours once the effect ends, and you cannot cast this spell on it again until then.",You can take 1/degree bonus(es). You cannot take the same bonus multiple times unless you’ve already taken all four. The artifact lies inert for (8 hours/4 hours/2 hours/1 hour/30 minutes/10 minutes/1 minute/no time) after the effect ends.,spell_24t1t0SoxxTXJj
TIMELESS LEGACY,ADVANCED,21,ARTIFICY,CREATIVITY,YES,NO,"Reach deep into the spirit of an artifact you are attuned to and feel the depth of its history. You can summon a spectral copy of one person the artifact was previously attuned to, who will have the same personality and knowledge that the person did when they were last attuned to the artifact, who stays for 10 minutes or until dispelled. They can answer any questions you have, but they won’t necessarily like you or have any reason to answer your questions. If you just want to force someone to listen to you talk about your latest niche interest, though, have at it.","You can summon 1/degree previous owner(s), and force at least one to answer (0/1+) questions strictly truthfully. On 3 or more degrees of success, the summoned copy has all knowledge that they have now or that they did when they were last alive.",spell_25Aai6tQbYlqTe
SHATTER BOND,ADVANCED,23,ARTIFICY,CREATIVITY,NO,NO,"A violent rippling red wave of magic flows down your arm and out your hand. Touch an artifact as part of casting this spell. On a success, you can force the artifact to lose any attunement it currently has. If the person attuned to the artifact is in physical contact with it, they can roll Willpower against your check to resist the effect. You can use it on your own artifact, but you could also just end the attunement normally. But why would you want to be an artificer if you’re not dramatic?",You can treat the target artifact as being attuned to you for (0 time/30 seconds/5 minutes/1 hour).,spell_26aj5N34EHTpsX
SPECTRAL COPY,ADVANCED,20,ARTIFICY,CREATIVITY,YES,NO,"Touch an artifact as part of casting this spell. On a success, a deep red magic flows from your wand and creates a Spectral Copy, a spectral version of the artifact that is automatically attuned to you and works just like the original artifact. It is solid for you, but is incorporeal for everyone else. This Spectral Copy lasts for 30 minutes, after which it explodes violently and kills you. I’m kidding. It just disappears with a little pop.","The Spectral Copy lasts for 30/degree minutes. You have a (0,1+) bonus on checks with it.",spell_27sDp3TYhm4mCv
FORGE OF THE ETERNAL LEGION,LEGENDARY,30,ARTIFICY,CREATIVITY,NO,NO,"The constructs of this world are all waiting for you to lead them. On a success, a spectral cloak made of red magic billows out behind you, and spectral red gauntlets form over your hands. For the next 10 minutes, all artifacts nearby obey your telepathic command. Treat all artifacts close to you as being attuned to you instead, granting a +1 to the associated Subject for the duration, and you can control them all as if they are extensions of your body. When this spell ends, a peal of red light flares out from you, and you can choose to force any artifacts that became temporarily attuned to you to lose their attunement to their original holders.","You take a +1/degree bonus to the associated Subject for each artifact connected to you. At the end of the effect, you can keep (0,1+) of the attunements to Advanced or lower artifacts.",spell_28sBSr7ODna31d
POWER CHANNEL,STANDARD,17,ARTIFICY,CREATIVITY,NO,NO,"Draws a long, blazing-red magic thread out of an artifact, which wraps around your hand, glowing furiously red. Grants one Power Channel connected to the field of magic associated with the artifact you took it from, which you can spend to take a +4 in the casting of one spell in that field. Power Channels last indefinitely, but you cannot cast this spell again until you have used any you have.","You can take 1/degree Power Channel(s), which grant a +(4/5+) bonus. You can only use one at a time.",spell_29K7AyimJge3ET
SEIZE CONTROL,STANDARD,15,ARTIFICY,CREATIVITY,NO,NO,"Swirling red magic surrounds your hand, giving you an indomitable force of artificy will. Touch an artifact you are not attuned to as part of casting this spell. On success, you gain a temporary attunement to it for 1 use in the next 10 minutes. Once you have used this spell, you cannot attune to that artifact, by this spell or normally, for a week. It also might give you a nasty look.",You can use the artifact (1/2/4/unlimited) time(s) in the next (10 minutes/1 hour/8 hours/24 hours). You can take a +(0/0/2/5+) bonus to checks to use it. You cannot attune to the artifact again for (1 week/1 week/3 days/2 days/24 hours).,spell_30o28nwAGkyxj8
UNBREAKABLE IRON LEGACY,LEGENDARY,32,ARTIFICY,CREATIVITY,NO,NO,"Legacy connects you to the great construct masters before you. On success, you summon the Leviathan, a spectral construct in the shape of a suit of clockwork powered armor, around you. For the next 5 minutes, take a +6 to all stats, and a further +6 to Body. The Leviathan allows you to fly at high speeds, and you can break almost any physical object without having to roll for it. You and anyone you are holding with the Leviathan cannot be Downed by dropping below 1 Resolve. At the end of the spell, the Leviathan dissolves in a cloud of red magic dust, and anyone who was being kept sustained at 0 Resolve becomes Downed. Please keep in mind the Leviathan was created by forges a thousand years ago, and so it might be a bit unstylish today.","Take a +(6/9+) bonus to all stats and again to Body. The effect lasts for (5 minutes/1 hour/8 hours/24 hours). At 4 or more degrees of success, you are immune to all Conditions while the effect is active.",spell_31omlH2gEg1I73
IRON GLOVE,STANDARD,16,ARTIFICY,CREATIVITY,NO,NO,"Creates a shimmering veil of brilliant red magic over one hand, patching in the gaps of a damaged artifact you touch with that hand. On success, you can use a damaged artifact once with no penalty, or a broken artifact once with the same penalty as a damaged one, at any point in the next 1 minute. This is not giving you free license to break artifacts.","You can use the artifact (1/2/4/unlimited) time(s) in the next (1 minute/10 minutes/1 hour/8 hours/24 hours). On 4 or more degrees of success, you can use a broken artifact without penalty.",spell_32JEPsQrvQcNbG
ARGON’S RING OF FORCE,STANDARD,14,ARTIFICY,CREATIVITY,NO,NO,"A glowing band of red magic that forms as a bangle around your wrists, linking up to your artifacts. Choose one artifact you are attuned to and receive Force Ring on those artifacts for 5 minutes. While Force Ring is active on an artifact, you can take a +1 bonus to your rolls to use that artifact, including on artifact backfires. It also looks pretty cool, honestly, which to a lot of artificers is the most important part.",You can take a +(1/2/3/4/7+) bonus to rolls to use the artifact.,spell_33Q2kGOBbmy7iE
SOULBURN,BASIC,N/A,ARTIFICY,CREATIVITY,NO,NO,"A thin tendril of red magic connects from your heart to an artifact. You can cast this spell on an artifact without rolling, becoming Soulburned to it. Whenever you backfire with an artifact you are Soulburned to, you can choose to Resist instead. Once you are Soulburned to an artifact, you cannot remove it except by unattuning to the artifact, at which point you must Resist Loss, DC11.",N/A,spell_34wyWpCXO5Okkr
LEGEND CALL,STANDARD,14,ARTIFICY,CREATIVITY,YES,NO,"If you are attuned to an artifact that is not on your person, you can cast this spell to summon a column of spectral red flame from the palm of your hand. On success, that artifact is summoned instantly to your hand, no matter the distance. If there is any antimagic between you and your artifact, this spell fails, and you must Resist, DC7. Looks really cool, but if you have a silly-looking artifact, it kind of spoils the effect.","You can take a +1/degree bonus to a check to use the artifact immediately after obtaining it. On 5 or more degrees of success, you can summon your artifact safely through antimagic, which causes it to arrive with an explosive shockwave.",spell_35W0OPDG71q4gZ
AELYN’S PRETTY POCKET,BASIC,N/A,ARTIFICY,CREATIVITY,NO,NO,"Summons a glittery pocket of pink magic that you can hide an artifact inside, regardless of its size. The pocket disappears after the artifact is placed inside, leaving a thin silvery string that can be pulled on to retrieve the artifact. This string can only be found by someone searching you with a Search roll, DC12. You can cast this spell without rolling, or you can choose to roll it, in which case the Search DC required to find the string equals your spell check + 4, but if you backfire on the roll, the string instead disappears for an hour, which makes it impossible to find the artifact but also impossible to retrieve it until the hour is up. A useful spell that is nonetheless unpopular with artificers because the pocket is, honestly, a little tacky. Not Aelyn’s most tasteful work.",N/A,spell_368qgFiifshEPY
MASTER OF FORCE,STANDARD,16,ARTIFICY,CREATIVITY,NO,NO,"Sheathes an artifact in brilliant spectral red flame. On success, you can give the Empowered status for 15 minutes to one artifact you are attuned to. Any time an Empowered artifact forces somebody other than yourself to roll to resist its effect, they take a -2 penalty. Ideal for absolutely obliterating the guy in your class who keeps checking you out.","You can give (1/2/4+) stack(s) of Empowered, including to the same artifact multiple times, multiplying the -2 penalty.",spell_376hWy0EsWmakP
GLIMMERLINK,STANDARD,10,ARTIFICY,CREATIVITY,YES,NO,"Cast this spell on an artifact you are not attuned to. On success, you create a shimmering link of spectral crystal between you and the artifact, making it more amenable to attunement. The next time within 15 minutes that you attempt to attune to the artifact, take a +2 to the attunement check.",Take a +2/degree bonus to the attunement check.,spell_38YMNvr8v0kD2N
GHOST ARSENAL,STANDARD,18,ARTIFICY,CREATIVITY,NO,NO,"Creates a brilliant flash of crimson magic that clamps down around an artifact and creates a spectral copy of it. On success, you can create one copy of an artifact you are attuned to. The spectral copy acts just like the original artifact, except it is attuned to somebody of your choice other than yourself when you cast this spell, and it disappears upon backfiring or after 10 minutes. If you attempt to create a spectral copy attuned to somebody who already has maximum attunements, they can choose to unattune from another artifact or for the effect to fail. Be warned that sometimes the duplicate looks cooler than your own, and then you get jealous.","You can create 1/degree Spectral Copy(ies), which can be the same one multiple times.",spell_39H4qRnxoHyuO5
TITAN’S WILL,STANDARD,10,ARTIFICY,CREATIVITY,NO,NO,"Summons a set of spectral brass plates that cover your arms and hands. On success, you automatically succeed on your next artifact backfire roll. This effect lasts for one hour, even if you’ve spent it, and you cannot cast it again until it runs out.",You automatically succeed on the next 1/degree artifact backfire(s).,spell_40s8PGYhBJyUMi
DUPLICATE,STANDARD,15,ENCHANTMENT,CREATIVITY,NO,NO,"A pale violet magic covers an enchanted object, its surface shifting as it interprets the enchantment. On success, you can create a temporary copy of the enchantment on a different object that remains for 1 hour. Copies are said to “just not have the same je ne sais quoi,” though, so you have been warned.",The copy lasts for (1 hour/8 hours/24 hours/3 days/1 week). You can duplicate the enchantment onto 1/degree object(s).,spell_41tnRWYnmIVNsS
VALEY’S LOCK,STANDARD,14,ENCHANTMENT,CREATIVITY,NO,NO,"You can cast this spell to lock or unlock a seal. On a success, you either lock the opening in a way that requires an opening check to beat your spell check, or you open a lock if you beat its associated DC. The spell makes a loud noise on unlocking.",The unlocking noise is (loud/moderate/quiet/silent).,spell_42DeOvfTi54RMw
DISPEL ENCHANTMENT,ADVANCED,23,ENCHANTMENT,CREATIVITY,NO,NO,"Releases needle-like tendrils of pale violet magic that pierce through an enchanted object, removing one enchantment of your choice from it. Someone worked really hard on that enchantment, though, you know. I hope you’re happy.","Removes 1/degree enchantment(s). On 3 or more degrees of success, you can choose to instead transfer any number of removed enchantments onto a different object.",spell_43sbPuWtpXcOGJ
ALHEIM’S ENCHANTER BELL,BASIC,5,ENCHANTMENT,CREATIVITY,NO,NO,"Summons a small silvery bell that rings softly in different ways in response to the fine details of an enchantment. On success, you can ask one of the following questions about one enchanted object you can see: • Who made this enchantment? • When was this enchantment made? • What does this enchantment do? • How can this enchantment be broken? • Where is the person who made this enchantment? • Once you have used this spell, you cannot use it again on the same object.",You can ask 1/degree question(s) about an enchantment on the target object.,spell_44tzYmBkbXVtSo
MINDWEAVER,HEX (4AP),30,ENCHANTMENT,CREATIVITY,NO,NO,"Insidious pale violet threads weave from the tip of your wand and mesh over a person’s head, flooding them with magic. On success, the target must roll Recall Information versus your spell check or have their mind be rewritten to suit your tastes. For each degree of failure on their check, you can remove, change, or add one thing to their memories. As per the Magic Council Ordinance of last year, the High Court officially declared this spell as a “dick move.”",You can affect (1/2*) target(s).,spell_45A6bywHFx3z92
ENCHANTER’S CLOAK,STANDARD,12,ENCHANTMENT,CREATIVITY,NO,NO,"Summons a pale violet cloak that settles over an enchanted object. On success, the object’s enchantment is hidden and it appears to be a mundane object for 10 minutes. Anyone investigating it must roll Analyze versus your spell check + 5 to tell that you’ve hidden an enchantment, although they can’t make out any details about the enchantment other than that this spell is hiding its characteristics.",You can hide the enchantment for (10 minutes/1 hour/8 hours/24 hours/indefinitely).,spell_46FHybJOEUgK3t
REPAIR ENCHANTMENT,STANDARD,11,ENCHANTMENT,CREATIVITY,YES,NO,"Summons two orbs of shimmering pale violet light that set to work repairing a damaged enchanted object. On a success, you can repair one enchanted object, no matter how damaged it is, so long as you have more than half of the original object. Once the spell is cast, it works for 1 hour before it completes the repair. The little magic orbs look really proud of themselves once they’re done. Don’t forget to tell them they did a good job, okay?",You can repair 1/degree enchanted object(s). The spell takes (1 hour/30 minutes/10 minutes/1 minute/no time) to complete.,spell_47nXqGfuMS20PR
STEAL ENCHANTMENT,STANDARD,15,ENCHANTMENT,CREATIVITY,NO,NO,"Creates a spectral hand that glows pale violet and attempts to snatch the magic off of an enchantment. On success, you gain one-use access to a spell connected to the enchantment placed on an object, which you can also use to place the same enchantment on an object.",Take a +(0/1/3+) bonus to either cast the spell or place it as an enchantment.,spell_48udrI8zv45wRS
MARK OF LIFE,STANDARD,12,ENCHANTMENT,CREATIVITY,NO,NO,"Creates an enchantment mark on an object that gives it some limited capacity of life. On success, the object is animated for 1 minute. It has some limited knowledge of its surroundings and any time it has been used, and it can move freely through space. You can end the effect instantly at any point. Based on the object, the GM may decide it has some limited capacities of speech or other abilities. Thankfully, enchanted objects don’t typically start dancing and singing.","The object is animated for (1 minute/10 minutes/1 hour/8 hours/24 hours), and is (neutral/cooperative/friendly) to you. It takes a +(0/1+) bonus to any Strong rolls it makes.",spell_49vi17aJ9RFvss
GREATER AWAKENING,ADVANCED,22,ENCHANTMENT,CREATIVITY,YES,NO,"Breathes a whisper of life into an object. On success, the target object becomes animated as if enchanted with Mark of Life, but the animation is permanent. Please be warned that you can’t shut it off once you’ve done this, so really make sure you want your cutlery flying around.",The target object takes a + 2/degree bonus to Strong checks.,spell_50PlFTpchbyfeC
MASS AWAKENING,ADVANCED,18,ENCHANTMENT,CREATIVITY,YES,NO,"Summons a shower of glowing pale violet lights that sparkle like stars above you before plunging into several objects at once. On success, you can animate 2 objects as if enchanted with Mark of Life for 1 minute. The animated objects will be friendly towards you and want to help you, but they don’t always have the best idea how to be helpful.",You can animate (2/4*) objects for (1 minute/10 minutes/1 hour/8 hours/24 hours).,spell_51kB15vzCkXFkq
THE ENCHANTER’S ENDLESS ARCHIVES,LEGENDARY,31,ENCHANTMENT,CREATIVITY,NO,NO,"All enchanting legacies lead to you, and the accumulated enchanting wisdom of ages is at your fingertips. On a success, everything you are wearing becomes enchanted with a levitation charm, glowing and allowing you to move freely through space, and the Enchanter’s Tome appears in front of you, a spectral book that somehow never runs out of pages. While the Tome is active, you can flip through it to any enchantment in the book and place it instantly on any object (1AP). You can pick any Advanced or lower spell to enchant an object with, whether you know that spell or not, and you can choose whether to roll for it or to have it last for 24 hours. In addition, while you are in this state, no spell can directly affect you. Any spell targeted at you directly will be absorbed, granting you one-use access to that spell for a future enchantment. This state lasts for 5 minutes, during which time placing enchantments costs only 50 materials. Please make sure you are on the ground again once the spell ends. It can make an embarrassing end to an otherwise cool spell.","The effect lasts for (5 minutes/30 minutes/1 hour), during which time placing enchantments costs (50/10/0) materials. On 3 or more degrees of success, you can place any hex as an enchantment as well.",spell_52GhMoc73uZqkT
BLOOD ENCHANTMENT,BASIC,5,ENCHANTMENT,CREATIVITY,NO,NO,"You can cast this spell on a willing target, including yourself. Violet light pours into the target’s body, where they can feel it coursing inside them. On success, the target can have enchantments placed on them like a physical object for 10 minutes. Once the effect ends, the target must Resist, DC14.",The effect lasts for (10 minutes/1 hour/8 hours/24 hours). The target takes a + 1/degree bonus to the Resist roll.,spell_53VKSzsGgWElRl
VALEY’S LITTLE MARK,BASIC,5,ENCHANTMENT,CREATIVITY,NO,NO,"When you roll to enchant an object, you can cast this spell. On success, instead of being enchanted, the object gains a tiny mark that’s hard to spot, and after an amount of time you choose up to 10 minutes, the enchantment takes effect. Anyone looking to spot the Little Mark must roll Search versus your spell check + 5. If they spot it, not only will they be able to determine what type of enchantment is going to take place and when, but also it’s going to make the Little Mark uncomfortable, because it’s very shy.","You can choose an amount of time up to (10 minutes/30 minutes/1 hour/8 hours/24 hours/1 week/1 month/1 year). On 5 or more degrees of success, you can also choose activation criteria for the Little Mark to take effect.",spell_5417VL9MLWgXfM
RASCAL’S HAND,BASIC,N/A,ENCHANTMENT,CREATIVITY,NO,NO,"Creates an invisible magic force that tethers you from afar to an object, allowing you to enchant it from a distance. There must be an opening, no matter how small, between you and the target object, but if there is, you can roll versus a DC equal to twice the number of meters between you and the target. On a success, you can enchant the target object as if you are touching it. On a failure, you cannot use this spell again on that object for an hour.",N/A,spell_5572ONxJ8mV73i
ALHEIM’S MAGIC RING,BASIC,5,ENCHANTMENT,CREATIVITY,NO,NO,"Converts a batch of magic materials into a swirl of magic energy that flows like a ring of pulsating magic water around your wrist, pouring its magic out into enchantments. To cast this spell, spend 500 materials and roll. On success, you obtain a Magic Ring for 10 minutes, during which time placing enchantments does not cost materials and you can take a +1 bonus to checks to place enchantments. If you ever find an enchanted object and you can’t figure out why someone bothered enchanting it, odds are it was an enchanter with ten seconds left on this spell who wanted to get their materials’ worth out of it.",Take a +1/degree bonus to checks to place enchantments while the effect is active.,spell_56RQ9ZljmvKTVk
ENCHANTING COMMAND,STANDARD,16,ENCHANTMENT,CREATIVITY,NO,NO,"You can cast this spell on an object enchanted by someone other than you, emitting a single bright flash of rainbow light towards the target object. Roll DC16 or against the check used to create the enchantment, at the GM’s discretion. On success, you can give one short, simple command to the enchanted object, which it will follow over any other directions it has received.","You can give 1/degree command(s), which can be to the same object or multiple.",spell_574xqJE2LX7YLC
HEAD OF THE HOUSEHOLD,STANDARD,10,ENCHANTMENT,CREATIVITY,YES,NO,"You can cast this spell if at least one object exists somewhere with an active enchantment you have placed. On success, you instantly learn the location and status of any one object of your choice that you have an enchantment on, perceiving its surroundings as if you were at its location for a moment. Good if you have a lot of enchanted objects at home and you want to make sure they’re not getting up to too much mischief, singing and dancing.","You can learn the location and perceive the surroundings of 1/degree object(s) you have enchanted. If you must make a Perception roll to fully perceive the target’s surroundings, take a +1/degree bonus.",spell_58IGfKipZVl84c
ETERNAL LEARNER,STANDARD,N/A,ENCHANTMENT,CREATIVITY,NO,NO,"Lights up a glow from the tip of your wand that picks up magic from an enchanted object, storing a sample of it for study. Roll DC10/DC15/DC20/DC30/DC30 depending on if the object is enchanted with a Basic/Standard/Advanced/Legendary/Hex spell. On success, you obtain the spell-learning materials for the associated spell, and you can take a +1 to checks to learn that spell. Once you have obtained the spell-learning materials for a spell this way, you cannot cast this spell on the same enchantment again.",Take a + 1/degree bonus to checks to learn the spell.,spell_59mkfNEGkfIiOD
