NAME,COST,TWISTED,DESCRIPTION,ID
NALIA’S QUILL,500,NO,"A wand made with a griffin’s feather that glows golden while casting spells or creating runes. While this wand is active, the material cost of any rune is reduced by 25 per glyph. This cannot reduce the cost of a rune below zero.",wand_61r4FQVQq1G7e9
ARGON’S AUTHORITY,700,NO,"A regal staff made with shed wyvern claw, it exudes a powerful artificy energy. While this wand is equipped, you can take a +8 to attune to new artifacts, and a +4 to Resist checks from failing an attunement roll.",wand_62CbSiK6nRt7Zg
BELHAM’S BLACKOUT,500,NO,"A long, thin wand brushed with hellclaw sap and pixie dust, giving it a darkly twinkling look. When this wand is active, you can touch it to a rune, disabling that rune for 30 minutes. You cannot use this ability again until the 30 minutes have run out.",wand_6316uWardP7ozt
MAELSTROM,600,NO,"A simple, plain wand made of enchanted oak that vibrates with a faint magical energy. While this wand is active, you can tap into its magic and let out a flow of intense, shuddering magic energy for 5 minutes, during which time you can take a +6 to cast any spell. At the end of this time, you must Resist, DC20.",wand_64Vyre8zdNEG3V
HENRY,500,NO,"A wand made of ashwood, with a sprig of bright-red Nephera’s Envy at the tip. While this wand is active, you can summon a small figure, which the wand creator demanded under the patent must always be called “Henry,” to do your bidding. Henry is an extraplanar creature in the shape of a blob a few inches tall, made of a simple gelatinous material, and will follow your psychic commands. It has 0 Resolve and disappears if it would ever have to Resist, and rolls 0/4, and can fit through any shape water can pass through. If Henry is forced to Resist and disappears, you must wait 24 hours before you can summon Henry again. Most people dismiss the wand and Henry as strange, but then end up very attached to the little guy and agree he’s definitely a Henry.",wand_65QEwRH12PLorP
LADY OF ARSENALS,650,NO,"A short, ornate scepter inlaid with artificers’ runes. While this wand is active, you can take a +4 to any checks to use artifacts, including on backfires.",wand_66YROnLlZQNF0p
BLACKBLOOD PROMISE,600,NO,"A simple wand inlaid with black quartz teeming with demonological enchantments, its faces seeming to reflect the viewer in different moods. While this wand is active, you can choose to take a +6 on any Persuasion, Tact, or Win Over roll, but if you fail the roll, the target will be aware that you tried to influence their mind with magic, and will react appropriately. And they’re typically not super appreciative.",wand_67ks5Su6HSeaHM
GARLYTH’S SECRET VESSEL,600,NO,"A small wand with a brassy figure like a cage at the end that has a magical fluid suspended in it. While this wand is active, you can use this fluid in place of 100 materials in brewing a potion, which empties the wand even if you used it on a potion with less than 100 material cost. The wand regains its magic in six hours.",wand_683ABUgzDK0UZY
BRASS GAMBIT,550,NO,"A dark brass wand said to be linked to the lingering consciousness of great strategists and generals through history. It’s probably a lie, but it’s still a pretty good wand. While this wand is active, you can take a +4 to any check made during Downtime.",wand_69rrARh5SSZ0hO
VIAL ARMY,700,NO,"A wand with a canister in the base set with potion vials that gleam with shimmering, spectral magic. While this wand is active, any time you would brew one potion of 100 material cost or lower, you instead obtain two, without spending extra materials. Every self-respecting vial girl has one of these around somewhere. Usually decked with stickers.",wand_70b6zVBgNXZtiz
WORD OF WRATH,600,NO,"A wand with a twisting spiral design, black onyx forming outwards to a jagged tip. While this wand is active, you can create a blast of force from the tip as if casting the Shatter spell with a roll of 15. It cannot hurt creatures, but it destroys any object that would be destroyed with a Shatter roll of 15. Starfall staff would like to ask you not to use this wand. Especially the cleaning staff.",wand_71WoGAS3RA6GsS
EYES OF THE ETHER,700,NO,"A wand made of extraplanar material that slowly shifts and rotates in your hand. While this wand is active, you can choose to open your mind at any point to a telepathic communication with a specific extraplanar creature chosen at the time of creating this wand. The extraplanar creature must consent to being linked to the wand and will generally be friendly, but if this wand originally belonged to somebody else, there’s no guarantee the associated creature will like its new host. You can cast the spell Planar Communion at will to communicate with the associated creature, and if the creature is friendly to you, you can summon it without rolling. Even if it is friendly to you, though, it will have its own motivations completely alien to yours, and will often have incomprehensible ulterior motives.",wand_72mGo3BDtMrHkg
DARKSPARK,500,NO,"A wand made from black enchanted fairywood that is straight, but appears to be crooked in a different way depending on what angle it’s viewed from. While this wand is active, you can roll Persuasion or Deception, +4, DC10, to incite a sudden rush of anger in a person you can see. The target must roll Willpower versus your check or become anywhere from annoyed to incoherent with rage depending on your degrees of success. If they succeed on their Willpower check with two or more degrees of success, they know they were being manipulated, and on three or more, they know it was you.",wand_73oYyjMkAZfiXu
HEAVEN’S BALANCE,600,NO,"A shimmering white wand steeped with fey magic, this wand feels soothing to the touch. While this wand is active, you can align with one more type of crystal at once than otherwise. If you align with the same crystal twice, add the degrees of success on that effect. It also allows you to align with cheeseburgers. This doesn’t do anything, and nobody knows why it’s a thing. No, you can’t align with hamburgers. These things happen when you involve fey magic.",wand_74aHkWSzBRNPKE
STEEL-CLAD VERDICT,600,NO,"A jet-black wand with a piece of a magic item retrieved from the body of a black worm. While this wand is active, you always know when you’re perceiving an illusion. You still have to roll to determine the true nature of what’s behind the illusion, but you can take a +4 on the check to do so.",wand_75fgLsyD3LwtWn
NEPHERA’S LIGHT,550,NO,"A deep jade-green wand with a dried snagweed vine wrapped around it. While this wand is active, you can cultivate an extra 500 materials’ worth of magic plants. If you unequip this wand and end up with more plants than you have capacity for, you have 24 hours to get rid of them or reequip this wand, or the plants die.",wand_766WskqGjP8LyV
BUILDER’S BALLAD,550,NO,"A finely engineered metal wand in royal blue with wandcrafting runes around the tip. While this wand is active, you can add a +6 to any checks to craft or repair wands, and you never suffer a penalty for making a wand for someone you don’t know well.",wand_77SfyhHp5d5PQc
DELAIR’S MERCY,650,NO,"A wand inlaid with lunar silver and fey quartz, and a thick, brassy grip that lights up with magic as it absorbs spent materials. While this wand is active, failing an Advanced spell instead returns all your materials, and failing a Hex instead returns half. Please don’t take that as your encouragement to cast hexes, though. Delair didn’t mean to make it do that and specifically put out a statement saying “please don’t cast hexes.”",wand_78AQdJDgojUr6f
TOUCH OF THE MUSE,500,NO,"A braided fairywood wand woven with a single fey hair, teeming with a creative energy. While this wand is active, you can take a +4 to Art, and any time you roll Art on Downtime, you can take an additional +4. There’s been more than one case of a great artist succeeding well enough to leave this wand behind and get a flashy expensive one instead and then no longer making good art. It’s kind of sad.",wand_79uHSvFexnQUqa
STARFORGED,1200,NO,"An ornate wand made from starsteel, a sparkling alloy made with a rare cosmic metal. While this wand is active, you can manipulate gravity, allowing you to cast Levitate at will without rolling for it. Take a 20 for the check.",wand_80TeFHUkQyDsz5
MINDSEEKER,1400,NO,"A wand carved out of a single amethyst formation, set into an ornate black steel grip embossed with eye symbols. While this wand is active, you can attempt to overpower a person’s mind. Give a short, simple command. A person must succeed on a DC20 Willpower check or follow your command. They must follow the command by the letter, but they can choose how within those confines. You can use this ability once per day.",wand_81V6Cw1nNBSjrz
DRAGON’S FURY,1250,NO,"A wand made from dragon bone with a blood-red crystal shaped to look like a dragon’s eye at the end. While this wand is active, you have a +4 to all Evocation spells, and you can cast Dragonbreath at will without rolling for it, taking a 20 on the check.",wand_82XN5Xoq3nmFz2
KALON’S CRYSTAL PRISON,1200,NO,"A cold steel wand with bars over a purple crystal. While this wand is active, you can cast Steal Soul at any time without rolling for it. Take a 25 on the check. If you choose to store the stolen soul in the wand, it will remain there indefinitely, giving a +4 to all Necromancy checks until you use the soul. You cannot use this ability again until the soul is removed from the wand, and no more than once per day.",wand_83FS2r3lFesvBO
LUNAR DANCE,1400,NO,"A shimmering platinum wand with a precious illusion stone embedded in a moonstone crescent moon on the end. While this wand is active, you can take a +6 to all Stealth checks at night, as the magic of the wand obscures you. You can use the wand to cast Invisibility without rolling for it, taking a 20 on the check, but the illusion stone becomes a black stone for 24 hours afterwards, during which time the +6 Stealth bonus is lost.",wand_84KeqUXxiqmcDn
RADIANT DAWN,1150,NO,"A wand made from untrimmed dawnbark, a pure white enchanted tree that glows faintly by starlight, woven with unicorn hairs. While this wand is active, you have a +4 to Restoration spells, and you can cast Saint’s Touch at will, taking a 20 on the check. You can use the wand’s magic to ignore one stack of Doubt you would otherwise take, but the wand loses its abilities for 6 hours after you do so.",wand_85Q3ZjhWMZx76N
WITCHHUNTER,1100,NO,"A jagged wand made from enchanted ebony and adorned with eagle feathers. While this wand is active, you can use it to track down a given magic object or phenomenon, or track down its source. Describe what you want to track down, and this becomes your Target. You have a +4 on all checks to locate your Target, and you can cast Visions at will, taking a 15 on the check to receive answers related to tracking your Target. You cannot change your Target until you have found it.",wand_86ei6nF5evmpMP
ABERLON’S PHOENIX HEART,1200,NO,"A wand carved from a tree burned by sacred phoenix fire and adorned with a single phoenix feather. While this wand is active, you can control any fire nearby as if it is an extension of your body, and you are immune to heat and fire. In addition, if an effect would ever Down you, you can choose to activate Rebirth, which covers you in a veil of sacred fire and removes all your Condition stacks. If you do so, the phoenix feather on this wand will be scorched, and the wand will be unusable for a full month while it regrows.",wand_87k7tTmozdTYUd
MASTER OF THE WATERY KINGDOM,1250,NO,"A wand made from ocean-floor bedrock and inlaid with an enchanted pearl that glows with a sea-green light. While this wand is active, you can breathe underwater, and water around you moves as if an extension of your body. If you rest while underwater, you can restore 2 Conditions for every 1 you would normally restore.",wand_88HveR4gGD37KK
STAFF OF THE MASTER,1200,NO,"A long, heavy staff made of tangled dreamglow yew, a precious magic tree that only grows deep in fey enclaves, teeming with deep, powerful insight. While this wand is active, your spells trigger improvement rolls also on any roll with 1 degree of failure.",wand_895iA4c0HX1i3C
STORMING BLESSING,1200,NO,"A wand with a thick vein of lunar silver, spiraling from the base to a storm crystal set in the tip, which crackles with a wild magic energy. While this wand is active, you can choose one Stat at the end of any Downtime block including sleeping at night, and take a +3 bonus to that Stat. You can change the Stat that takes the bonus at any time as well, by making a DC22 Concentration roll, calling on chaotic storming magic. On a failure or a backfire, the magic explodes, and you must Resist, DC16, although if you backfire on a success, you still successfully change the Stat that receives the bonus.",wand_90j9ZNH8Va2Rxj
